apex flight line; row in apex data; col in apex data; cell geometry; cell area; percentage of deviations; percentage of cell in roof
south;7127;664;LINESTRING (90233.22911413343 432380.328058343, 90230.62062123757 432380.2070745994, 90228.04403842098 432380.0918075667, 90228.38548231068 432376.5622419759, 90230.96186628244 432376.6774704214, 90233.570246774 432376.7984190017, 90233.22911413343 432380.328058343);18.3813232388477;0.2746565422274;1.0
south;7127;665;LINESTRING (90233.57030297504 432376.798436628, 90230.96186628244 432376.6774704214, 90228.38538288781 432376.562222642, 90228.72685267119 432373.0323898124, 90231.30313721568 432373.1475988997, 90233.91146150616 432373.268529823, 90233.57030297504 432376.798436628);18.38215359476713;0.0;1.0000000000000002
south;7127;666;LINESTRING (90233.91151770596 432373.2685475085, 90231.30313721568 432373.1475988997, 90228.7267532456 432373.032370421, 90229.06789916813 432369.5058858249, 90231.64408448723 432369.6210755399, 90234.25235269175 432369.7419887919, 90233.91151770596 432373.2685475085);18.36415685138398;0.020513454436228283;1.0000000000000002
south;7127;667;LINESTRING (90234.25240877575 432369.7420064929, 90231.64408448723 432369.6210755399, 90229.06779994385 432369.5058664253, 90229.408972064 432365.9791114394, 90231.98505795115 432366.0942816868, 90234.59326995595 432366.2151771779, 90234.25240877575 432369.7420064929);18.3650039090722;0.0;1.0000000000000002
south;7127;668;LINESTRING (90234.59332615419 432366.2151949679, 90231.98505795115 432366.0942816868, 90229.40887263362 432365.9790919435, 90229.75042103702 432362.4484476792, 90232.32640748957 432362.5635984017, 90234.93456329513 432362.6844760759, 90234.59332615419 432366.2151949679);18.384695656444254;0.2999425323483188;0.746023932708748
south;7128;664;LINESTRING (90228.04413784151 432380.0918268471, 90225.4675550033 432379.9765598164, 90223.21729218026 432379.6721204969, 90223.55902234526 432376.1425691927, 90225.80899889453 432376.446994197, 90228.38538288781 432376.562222642, 90228.04413784151 432380.0918268471);17.179175224545514;0.24809161470630214;1.0
south;7128;665;LINESTRING (90228.38548231068 432376.5622419759, 90225.80899889453 432376.446994197, 90223.55887920233 432376.1425620489, 90223.90063529287 432372.6127434068, 90226.15046867941 432372.9171613395, 90228.7267532456 432373.032370421, 90228.38548231068 432376.5622419759);17.179610943028745;0.07518388407434139;0.9999999999999998
south;7128;666;LINESTRING (90228.72685267119 432373.0323898124, 90226.15046867941 432372.9171613395, 90223.90049213381 432372.6127363083, 90224.24192410182 432369.0862657831, 90226.49161460312 432369.3906767094, 90229.06779994385 432369.5058664253, 90228.72685267119 432373.0323898124);17.16245183760955;0.4336921692317109;1.0
south;7128;667;LINESTRING (90229.06789916813 432369.5058858249, 90226.49161460312 432369.3906767094, 90224.24178122022 432369.0862587522, 90224.5832394177 432365.5595177333, 90226.83278672473 432365.8639216952, 90229.40887263362 432365.9790919435, 90229.06789916813 432369.5058858249);17.162903370116545;0.5202640123856969;1.0
south;7128;668;LINESTRING (90229.408972064 432365.9791114394, 90226.83278672473 432365.8639216952, 90224.58309622682 432365.55951074, 90224.92493103285 432362.0288803525, 90227.17433512978 432362.3332774009, 90229.75032160387 432362.4484281291, 90229.408972064 432365.9791114394);17.180966001570802;0.4064017715872707;0.7101450928329164
south;7129;664;LINESTRING (90223.21743530738 432379.6721276921, 90220.96717246796 432379.3676883741, 90218.58083453501 432379.3397260472, 90218.92273349466 432375.8102226761, 90221.30890263688 432375.8381370454, 90223.55887920233 432376.1425620489, 90223.21743530738 432379.6721276921);16.47781602711311;0.5465797955115174;0.9981637575812238
south;7129;665;LINESTRING (90223.55902234526 432376.1425691927, 90221.30890263688 432375.8381370454, 90218.92264910044 432375.8101986372, 90219.26457398143 432372.2804281054, 90221.65065873077 432372.3083183732, 90223.90049213381 432372.6127363083, 90223.55902234526 432376.1425691927);16.478249991724464;0.39901253958375266;0.9999999999999998
south;7129;666;LINESTRING (90223.90063529287 432372.6127434068, 90221.65065873077 432372.3083183732, 90219.26448958929 432372.2804039772, 90219.60609017084 432368.7539816897, 90221.99209070223 432368.7818478153, 90224.24178122022 432369.0862587522, 90223.90063529287 432372.6127434068);16.461807405055428;0.35036214213147976;1.0
south;7129;667;LINESTRING (90224.24192410182 432369.0862657831, 90221.99209070223 432368.7818478153, 90219.60600595355 432368.753957524, 90219.94763276057 432365.2272649197, 90222.3335489032 432365.2551067747, 90224.58309622682 432365.55951074, 90224.24192410182 432369.0862657831);16.46225651442722;0.2129373661380656;1.0
south;7117;627;LINESTRING (90268.60706199682 432520.7374960952, 90266.32952740241 432520.0784182993, 90263.7414890026 432519.4344657164, 90264.08164353421 432515.9174056106, 90266.6699106716 432516.5614219621, 90268.94785791551 432517.2205856186, 90268.60706199682 432520.7374960952);17.556932561554788;0.0;1.0
south;7117;628;LINESTRING (90268.94765180297 432517.2205426399, 90266.6699106716 432516.5614219621, 90264.08175778345 432515.9174375462, 90264.41263084207 432512.4291964619, 90267.01031348229 432513.044224141, 90269.28846724541 432513.7034311036, 90268.94765180297 432517.2205426399);17.52996033651542;0.0;1.0
south;7117;629;LINESTRING (90269.28826071834 432513.7033878191, 90267.01031348229 432513.044224141, 90264.42204635241 432512.4002077593, 90264.7532644563 432508.9083994621, 90267.34175264032 432509.5524226031, 90269.62944540297 432510.1824662444, 90269.28826071834 432513.7033878191);17.472672198076335;0.0;1.0
south;7117;630;LINESTRING (90269.61990639585 432510.2116295928, 90267.34175264032 432509.5524226031, 90264.74407000726 432508.9373948931, 90265.08423657212 432505.4202116246, 90267.67283894584 432506.064267317, 90269.95481428521 432506.7127600071, 90269.61990639585 432510.2116295928);17.47737536515277;0.0;0.9999999999999998
south;7117;631;LINESTRING (90269.96053170139 432506.6943109819, 90267.67283894584 432506.064267317, 90265.08435076942 432505.4202441481, 90265.42453738107 432501.902853973, 90268.01325417389 432502.5469424496, 90270.29201195187 432503.2062161264, 90269.96053170139 432506.6943109819);17.538260488425536;0.0;1.0
south;7117;632;LINESTRING (90270.29522950556 432503.1954351684, 90268.01325417389 432502.5469424496, 90265.42465180792 432501.9028867314, 90265.7648585953 432498.3852883701, 90268.35368954705 432499.0294098039, 90270.63265335883 432499.6887275527, 90270.29522950556 432503.1954351684);17.556088276047177;0.0;0.9999999999999998
south;7117;633;LINESTRING (90270.63244731733 432499.6886835069, 90268.35368954705 432499.0294098039, 90265.76497276181 432498.3853213027, 90266.10519993761 432494.8675126074, 90268.69414527752 432495.5116672415, 90270.97331553805 432496.1710293677, 90270.63244731733 432499.6886835069);17.56746059126628;0.0;1.0000000000000002
south;7117;634;LINESTRING (90270.97310908161 432496.1709850125, 90268.69414527752 432495.5116672415, 90266.10531433333 432494.8675457796, 90266.4459110054 432491.3459170725, 90269.03497072187 432491.9901051037, 90271.31434742262 432492.6495118206, 90270.97310908161 432496.1709850125);17.5876905286174;0.0;1.0
south;7117;635;LINESTRING (90271.31414097453 432492.6494672541, 90269.03497072187 432491.9901051037, 90266.44602538951 432491.3459504413, 90266.78629377692 432487.8277164818, 90269.37546762341 432488.4719380314, 90271.65505033397 432489.1313894694, 90271.31414097453 432492.6494672541);17.571888716290445;0.0;1.0
south;7117;636;LINESTRING (90271.6548443168 432489.1313447799, 90269.37546762341 432488.4719380314, 90266.78640791467 432487.827749975, 90267.12669717477 432484.3093006262, 90269.71598537426 432484.953555964, 90271.9957745093 432485.6130524236, 90271.6548443168 432489.1313447799);17.574117999210955;0.0;0.9999999999999998
south;7117;637;LINESTRING (90271.99556807702 432485.6130074279, 90269.71598537426 432484.953555964, 90267.12681153516 432484.3093343797, 90267.46712178858 432480.7906683927, 90270.05652409518 432481.4349576443, 90272.33651922387 432482.094499254, 90271.99556807702 432485.6130074279);17.576351383230136;0.0;0.9780038654834143
south;7117;638;LINESTRING (90272.33631322256 432482.094454133, 90270.05652409518 432481.4349576443, 90267.46723590307 432480.7907022756, 90267.80756735688 432477.2718175108, 90270.39708399316 432477.9161409377, 90272.67728553069 432478.575728, 90272.33631322256 432482.094454133);17.578598023638463;0.0;0.9224809122806437
south;7117;639;LINESTRING (90272.67707911413 432478.575682571, 90270.39708399316 432477.9161409377, 90267.80768169407 432477.2718516558, 90268.14838357002 432473.7491372963, 90270.73801452434 432474.3934951018, 90273.01842246324 432475.0531278357, 90272.67707911413 432478.575682571);17.59888270164179;0.0;0.8665757108843043
south;7117;640;LINESTRING (90273.01821605423 432475.0530821939, 90270.73801452434 432474.3934951018, 90268.14849789582 432473.7491716425, 90268.48887219811 432470.2298446788, 90271.07861722479 432470.8742369862, 90273.35923113447 432471.5339155126, 90273.01821605423 432475.0530821939);17.58311274866725;0.0;0.8106744560452762
south;7117;641;LINESTRING (90273.35902515592 432471.5338697464, 90271.07861722479 432470.8742369862, 90268.48898627788 432470.2298791488, 90268.8293822727 432466.7103283182, 90271.41924159475 432467.3547553946, 90273.70006189035 432468.0144800203, 90273.35902515592 432471.5338697464);17.5853854642065;0.0;0.7548057213994839
south;7118;627;LINESTRING (90263.74137450664 432519.434433909, 90261.15333608554 432518.7904813216, 90258.6210540552 432518.0881317036, 90258.95183039237 432514.5998589325, 90261.49349062462 432515.2734211848, 90264.08175778345 432515.9174375462, 90263.74137450664 432519.434433909);18.438683486229777;0.0;1.0
south;7118;628;LINESTRING (90264.08164353421 432515.9174056106, 90261.49349062462 432515.2734211848, 90258.96113304724 432514.5710415558, 90259.29190541588 432511.0828102587, 90261.82436369077 432511.7851800711, 90264.42204635241 432512.4002077593, 90264.08164353421 432515.9174056106);18.359548290238582;0.0;0.9999999999999998
