apex flight line; row in apex data; col in apex data; cell geometry; cell area; percentage of deviations; percentage of cell in roof
south;6789;809;LINESTRING (91822.99307788756 432013.724312808, 91820.56138739557 432014.1712892952, 91817.99450082035 432014.2609270404, 91818.35244351457 432010.7410552987, 91820.91921339856 432010.6513537515, 91823.35132730365 432010.2002858944, 91822.99307788756 432013.724312808);17.407243695850863;0.14007373023799724;1.0
south;6790;807;LINESTRING (91817.25559018762 432021.4414066329, 91814.68864295358 432021.5309415617, 91812.00973303833 432021.5658758116, 91812.37968768562 432017.9740800123, 91815.05844437418 432017.9390497368, 91817.62533097017 432017.8494119621, 91817.25559018762 432021.4414066329);18.79610508540524;0.22146658305489278;0.9365971360870393
south;6790;808;LINESTRING (91817.6253612836 432017.8494634824, 91815.05844437418 432017.9390497368, 91812.37961107376 432017.9740319145, 91812.74961874487 432014.3817217356, 91815.42764758547 432014.3506143044, 91817.99450082035 432014.2609270404, 91817.6253612836 432017.8494634824);18.782492196072916;0.3419219899328757;1.0
south;6790;809;LINESTRING (91817.99453418201 432014.2609765631, 91815.42764758547 432014.3506143044, 91812.74889089687 432014.3856445467, 91813.11830033062 432010.7968007748, 91815.78559027892 432010.830742534, 91818.3523601841 432010.7410409795, 91817.99453418201 432014.2609765631);18.5035801117342;0.022959693875941642;0.9999999999999998
south;6791;807;LINESTRING (91812.0098096533 432021.5659237712, 91809.33089971458 432021.6008580241, 91806.52484119486 432022.0856250962, 91806.89480877155 432018.4940477543, 91809.70085436194 432018.0090621902, 91812.37961107376 432017.9740319145, 91812.0098096533 432021.5659237712);19.50808596986981;0.08169516736054667;1.0
south;6791;808;LINESTRING (91812.37968768562 432017.9740800123, 91809.70085436194 432018.0090621902, 91806.89480232222 432018.493938304, 91807.26482285002 432014.9018473381, 91810.07086203285 432014.4167519864, 91812.74889089687 432014.3856445467, 91812.37968768562 432017.9740800123);19.504779824785697;0.3398747933645932;1.0000000000000002
south;6791;809;LINESTRING (91812.74961874487 432014.3817217356, 91810.07086203285 432014.4167519864, 91807.26481643706 432014.9017375105, 91807.63489010466 432011.3091310922, 91810.4402714665 432010.827908177, 91813.10756143832 432010.8618499351, 91812.74961874487 432014.3817217356);19.396605595945214;0.1570260273583042;1.0
south;6792;807;LINESTRING (91806.52484768053 432022.0857341685, 91803.71878913626 432022.5705012498, 91801.47483196018 432022.4406004356, 91801.84456348655 432018.8490147148, 91804.08875670753 432018.9789238743, 91806.89480232222 432018.493938304, 91806.52484768053 432022.0857341685);18.006898703465204;0.009758657123672661;0.9999999999999998
south;6792;808;LINESTRING (91806.89480877155 432018.4940477543, 91804.08875670753 432018.9789238743, 91801.84468152015 432018.8490188586, 91802.21446595705 432015.2569195843, 91804.4587772302 432015.3868328799, 91807.26481643706 432014.9017375105, 91806.89480877155 432018.4940477543);18.00983660994539;0.05736759921039743;1.0
south;6792;809;LINESTRING (91807.26482285002 432014.9018473381, 91804.4587772302 432015.3868328799, 91802.21458401106 432015.2569236923, 91802.58442154602 432011.664309034, 91804.82885089234 432011.7942264273, 91807.63423227843 432011.3130035009, 91807.26482285002 432014.9018473381);18.006920871397337;0.2376504855994563;0.9750525801585246
south;6793;807;LINESTRING (91801.47471394695 432022.4405962593, 91799.23075675438 432022.3106954434, 91796.96825606932 432022.5463228187, 91797.3375759256 432018.9548198061, 91799.60048828271 432018.719109697, 91801.84468152015 432018.8490188586, 91801.47471394695 432022.4405962593);16.147349726850155;0.25966810650504885;1.0
south;6793;808;LINESTRING (91801.84456348655 432018.8490147148, 91799.60048828271 432018.719109697, 91797.33778178619 432018.9547783138, 91797.70715444937 432015.3627621902, 91799.97027272126 432015.1270103943, 91802.21458401106 432015.2569236923, 91801.84456348655 432018.8490147148);16.150807873018188;0.26629356120287234;1.0
south;6793;809;LINESTRING (91802.21446595705 432015.2569195843, 91799.97027272126 432015.1270103943, 91797.70736036164 432015.362720476, 91798.07678601956 432011.7701894123, 91800.34011025826 432011.534395708, 91802.5845396209 432011.6643131069, 91802.21446595705 432015.2569195843);16.15427473893065;0.25578998436711714;0.7328733748449826
south;6794;807;LINESTRING (91796.96805026036 432022.5463640894, 91794.70554955908 432022.7819914685, 91792.64625806062 432022.7069305982, 91793.01499229087 432019.1153961398, 91795.07486941287 432019.1904884284, 91797.33778178619 432018.9547783138, 91796.96805026036 432022.5463640894);15.464266308212343;0.18326400005166102;0.9999999999999999
south;6794;808;LINESTRING (91797.3375759256 432018.9548198061, 91795.07486941287 432019.1904884284, 91793.01528512716 432019.11541181, 91793.38407206874 432015.5233643479, 91795.44424207343 432015.5984722784, 91797.70736036164 432015.362720476, 91797.3375759256 432018.9548198061);15.468257828827387;0.1573393707856057;0.9999999999999999
south;6795;806;LINESTRING (91792.27736834507 432026.2942511275, 91790.21836897428 432026.2192060256, 91788.14221565414 432025.8750234708, 91788.50996841989 432022.2875626364, 91790.58667375974 432022.631854, 91792.64625806062 432022.7069305982, 91792.27736834507 432026.2942511275);14.990724567973762;0.33309169971869446;0.9389755652129446
south;6795;807;LINESTRING (91792.64596527207 432022.706914871, 91790.58667375974 432022.631854, 91788.51024473019 432022.2876171262, 91788.87842631346 432018.6959735526, 91790.95540799113 432019.0403195177, 91793.01528512716 432019.11541181, 91792.64596527207 432022.706914871);15.010270109220048;0.2773119529474076;1.0
south;6795;808;LINESTRING (91793.01499229087 432019.1153961398, 91790.95540799113 432019.0403195177, 91788.87870265558 432018.6960281303, 91789.24628626317 432015.1078312337, 91791.32419493384 432015.4482720322, 91793.38436495257 432015.5233799664, 91793.01499229087 432019.1153961398);15.010699487578657;0.05460461410456061;1.0
south;6796;806;LINESTRING (91788.14193994045 432025.8749691742, 91786.06578660596 432025.5307866168, 91783.65491138073 432026.2331096655, 91784.02207460653 432022.6458495593, 91786.43353937633 432021.9433257583, 91788.51024473019 432022.2876171262, 91788.14193994045 432025.8749691742);15.967309998339308;0.12776005768793364;0.9998943322559164
south;6796;807;LINESTRING (91788.50996841989 432022.2875626364, 91786.43353937633 432021.9433257583, 91784.02236972029 432022.6457488356, 91784.3893136415 432019.0582466285, 91786.80172096376 432018.3516821595, 91788.87870265558 432018.6960281303, 91788.50996841989 432022.2875626364);15.983874099579142;0.17088849561161562;0.9912624876258229
south;6796;808;LINESTRING (91788.87842631346 432018.6959735526, 91786.80172096376 432018.3516821595, 91784.39025618613 432019.0542059342, 91784.74600653452 432015.534724711, 91787.16930457587 432014.7634852416, 91789.2472132609 432015.1039260455, 91788.87842631346 432018.6959735526);15.908318973476543;0.31247925389821113;0.9599672479826387
south;6784;809;LINESTRING (91856.40888658514 432009.4331118207, 91852.8858980622 432009.9118890165, 91849.60329801824 432010.2471300476, 91849.970708361 432006.6607318234, 91853.25416642227 432006.3186289609, 91856.77674022378 432005.8395571682, 91856.40888658514 432009.4331118207);24.143450798188404;0.3771455449246973;0.8182729580196251
