geometry;deviation_percentage
LINESTRING (93289.70143336033 433994.2908088541, 93284.46722034589 433994.3616052467, 93284.81759720659 433990.7987931573, 93290.05157985125 433990.7280690454, 93289.70143336033 433994.2908088541);0.014809913059912585
LINESTRING (93290.05164996027 433990.7280322363, 93284.81755214976 433990.7987923248, 93285.16825008043 433987.2327158643, 93290.40211736193 433987.1620275903, 93290.05164996027 433990.7280322363);0.22013997813042085
LINESTRING (93290.40218758414 433987.1619909356, 93285.16820493972 433987.2327149953, 93285.51886662404 433983.6670075324, 93290.75261881546 433983.5963547561, 93290.40218758414 433987.1619909356);0.06730151401628078
LINESTRING (93284.11689706519 433997.9247910724, 93279.22370613109 433997.686741554, 93279.57403587623 433994.1235281632, 93284.46722034589 433994.3616052467, 93284.11689706519 433997.9247910724);0.0
LINESTRING (93284.46726541061 433994.3616060537, 93279.57407771562 433994.1235426691, 93279.92437089884 433990.5607015851, 93284.81755214976 433990.7987923248, 93284.46726541061 433994.3616060537);0.001147181238289131
LINESTRING (93284.81759720659 433990.7987931573, 93279.92441274044 433990.5607160212, 93280.27502690356 433986.9946106704, 93285.16820493972 433987.2327149953, 93284.81759720659 433990.7987931573);0.29976832487228183
LINESTRING (93285.16825008043 433987.2327158643, 93280.27506883285 433986.9946250626, 93280.62564674517 433983.4288888515, 93285.51882158306 433983.6670066308, 93285.16825008043 433987.2327158643);0.0030201000480873444
LINESTRING (93279.22366429423 433997.686726979, 93274.55840280326 433997.2403026608, 93274.90903153695 433993.6771603568, 93279.57407771562 433994.1235426691, 93279.22366429423 433997.686726979);0.02627928917025958
LINESTRING (93279.57403587623 433994.1235281632, 93274.90888204947 433993.6771248265, 93275.25947420577 433990.1143546623, 93279.92441274044 433990.5607160212, 93279.57403587623 433994.1235281632);0.14128727243941788
LINESTRING (93279.92437089884 433990.5607015851, 93275.25932472621 433990.1143192188, 93275.61023815162 433986.5482846969, 93280.27506883285 433986.9946250626, 93279.92437089884 433990.5607015851);0.08304287437503412
