apex flight line; row in apex data; col in apex data; cell geometry; cell area; percentage of deviations; percentage of cell in roof
south;6977;276;LINESTRING (90786.58985664052 433811.3129011291, 90784.43848469865 433811.3047024121, 90782.02585657353 433810.5033060191, 90782.38187083011 433806.9890963421, 90784.7937371296 433807.790371297, 90786.94418214701 433807.7984950126, 90786.58985664052 433811.3129011291);16.324251417107845;0.0;1.0
south;6977;277;LINESTRING (90786.94464604935 433807.798544728, 90784.7937371296 433807.790371297, 90782.38181032221 433807.0425335784, 90782.73710121764 433803.4755015539, 90785.14859489693 433804.2766774953, 90787.29857800429 433804.2847773279, 90786.94464604935 433807.798544728);16.37230854149385;0.0;1.0000000000000002
south;6977;278;LINESTRING (90787.29903991381 433804.2848012379, 90785.14859489693 433804.2766774953, 90782.73672860705 433803.4754025135, 90783.09234307702 433799.905122304, 90785.50346338848 433800.7061993285, 90787.65298370282 433800.7142751396, 90787.29903991381 433804.2848012379);16.573944745994062;0.0;0.9249042978240367
south;6978;278;LINESTRING (90782.73710121764 433803.4755015539, 90780.32523491007 433802.6742265591, 90777.74282243996 433802.0090339543, 90778.0993539484 433798.4389413834, 90780.68084938954 433799.1039463222, 90783.09196971898 433799.9050233564, 90782.73710121764 433803.4755015539);18.349437206901257;0.0;0.8008063588501555
south;6978;279;LINESTRING (90783.09234307702 433799.905122304, 90780.68084938954 433799.1039463222, 90778.09889498539 433798.4388475484, 90778.4557534077 433794.9216140431, 90781.03684515049 433795.5865856027, 90783.44717285351 433796.3350341596, 90783.09234307702 433799.905122304);18.13600151027925;0.0;0.995699653238924
south;6978;280;LINESTRING (90783.44796547017 433796.3876626659, 90781.03684515049 433795.5865856027, 90778.45534971733 433794.9215806338, 90778.81185227119 433791.4112128749, 90781.39248916732 433792.0760947688, 90783.80284821562 433792.8770528414, 90783.44796547017 433796.3876626659);18.04501407315303;0.0;1.0
south;6978;281;LINESTRING (90783.80281686148 433792.8245433553, 90781.39248916732 433792.0760947688, 90778.81139743267 433791.4111231824, 90779.16788382469 433787.8447855152, 90781.7480617738 433788.5095742402, 90784.15804744005 433789.3104342571, 90783.80281686148 433792.8245433553);18.24839491008958;0.0;0.9453475013307735
south;6979;281;LINESTRING (90778.81185227119 433791.4112128749, 90776.23076051527 433790.7462412798, 90774.24735237846 433790.0897753299, 90774.60425574362 433786.5204940126, 90776.58724691537 433787.1799035813, 90779.16742488567 433787.8446923204, 90778.81185227119 433791.4112128749);16.75072991323213;0.0;0.7574708888407226
south;6979;282;LINESTRING (90779.16788382469 433787.8447855152, 90776.58724691537 433787.1799035813, 90774.60403628529 433786.5204226245, 90774.96090136746 433782.9515245824, 90776.94367352073 433783.6108631675, 90779.52339350691 433784.2755591455, 90779.16788382469 433787.8447855152);16.75805575564692;0.0;0.9917391110353458
south;6979;283;LINESTRING (90779.52385148287 433784.2756519361, 90776.94367352073 433783.6108631675, 90774.96068235673 433782.951453578, 90775.31759997626 433779.4350249308, 90777.30013057003 433780.0943485637, 90779.8789607223 433780.7104463317, 90779.52385148287 433784.2756519361);16.569032013972837;0.0;0.999973874930641
