building gmlid; roof surface gmlid; apex flight line; row in apex data; col in apex data; cell geometry; cell area; percentage of deviations; percentage of cell in roof
ID_0599100000338435;RCID_4e80c915-42b9-4639-b7c7-74bbfdc3e395;south;6483;380;LINESTRING (93094.27735187487 433650.8773694289, 93091.58840702809 433650.8880212888, 93089.33088772817 433650.5533266146, 93089.67663159495 433647.0275740678, 93091.93429899815 433647.362264914, 93094.62319062075 433647.3516348452, 93094.27735187487 433650.8773694289);17.552223552808368;0.1012361938119789;0.9732719796873377
ID_0599100000338435;RCID_725c9fc3-0ca4-41ae-b5d1-86643c00cb10;south;6480;383;LINESTRING (93109.85414611516 433640.6105572156, 93107.96264023523 433640.6019781802, 93105.11864995505 433640.7634355103, 93105.4648382913 433637.2347063925, 93108.30866057955 433637.0732765593, 93110.1999719498 433637.0818565465, 93109.85414611516 433640.6105572156);16.656643121909255;0.23355352435158708;0.8776211186997299
ID_0599100000338435;RCID_725c9fc3-0ca4-41ae-b5d1-86643c00cb10;south;6480;384;LINESTRING (93110.20006919798 433637.0818561196, 93108.30866057955 433637.0732765593, 93105.46475430705 433637.2347200279, 93105.81092246121 433633.706197048, 93108.65466079087 433633.5447806809, 93110.54587492556 433633.553361041, 93110.20006919798 433637.0818561196);16.655036937508484;0.14124376628589994;1.0
ID_0599100000338435;RCID_725c9fc3-0ca4-41ae-b5d1-86643c00cb10;south;6480;385;LINESTRING (93110.54597216076 433633.5533606893, 93108.65466079087 433633.5447806809, 93105.81083850113 433633.7062104822, 93106.15663272642 433630.1814994192, 93109.00028729354 433630.0200962888, 93110.89140440416 433630.0286769482, 93110.54597216076 433633.5533606893);16.63641248776121;0.15312684941820018;1.0
ID_0599100000338435;RCID_725c9fc3-0ca4-41ae-b5d1-86643c00cb10;south;6480;386;LINESTRING (93110.89150142767 433630.0286766718, 93109.00028729354 433630.0200962888, 93106.15654896238 433630.1815126262, 93106.50232336005 433626.6570040841, 93109.34589401739 433626.4956140268, 93111.23691391828 433626.504194903, 93110.89150142767 433630.0286766718);16.634824235500385;0.22520210368892307;0.883929434529711
ID_0599100000338435;RCID_725c9fc3-0ca4-41ae-b5d1-86643c00cb10;south;6481;383;LINESTRING (93105.11873396394 433640.7634216789, 93102.27474365768 433640.9248790212, 93100.1409901313 433640.5796003167, 93100.48712137742 433637.050885059, 93102.62093199257 433637.3961498667, 93105.46475430705 433637.2347200279, 93105.11873396394 433640.7634216789);17.6285030491418;0.24360455856823493;0.9466363334814512
ID_0599100000338435;RCID_725c9fc3-0ca4-41ae-b5d1-86643c00cb10;south;6481;384;LINESTRING (93105.4648382913 433637.2347063925, 93102.62093199257 433637.3961498667, 93100.48714991956 433637.0508781382, 93100.83326100075 433633.5223688681, 93102.96710014541 433633.8676268535, 93105.81083850113 433633.7062104822, 93105.4648382913 433637.2347063925);17.627280668263797;0.27744749919673;1.0
ID_0599100000338435;RCID_725c9fc3-0ca4-41ae-b5d1-86643c00cb10;south;6481;385;LINESTRING (93105.81092246121 433633.706197048, 93102.96710014541 433633.8676268535, 93100.83328953435 433633.5223620211, 93101.17902676243 433629.9976645109, 93103.3128943691 433630.3429157546, 93106.15654896238 433630.1815126262, 93105.81092246121 433633.706197048);17.608045504772797;0.1665836287098297;1.0000000000000002
ID_0599100000338435;RCID_725c9fc3-0ca4-41ae-b5d1-86643c00cb10;south;6481;386;LINESTRING (93106.15663272642 433630.1814994192, 93103.3128943691 433630.3429157546, 93101.17905522892 433629.9976577474, 93101.52477264711 433626.4731626182, 93103.65866876551 433626.8184071835, 93106.50223944892 433626.65701712, 93106.15663272642 433630.1814994192);17.606841440469445;0.19480729683438094;1.0
ID_0599100000338435;RCID_725c9fc3-0ca4-41ae-b5d1-86643c00cb10;south;6481;387;LINESTRING (93106.50232336005 433626.6570040841, 93103.65866876551 433626.8184071835, 93101.52480116321 433626.47315591, 93101.87085279668 433622.945254011, 93104.00477741814 433623.2904919733, 93106.84826421585 433623.1291147782, 93106.50232336005 433626.6570040841);17.623667148309217;0.2394418008429787;1.0
