building gmlid; roof surface gmlid; apex flight line; row in apex data; col in apex data; cell geometry; cell area; percentage of deviations; percentage of cell in roof
ID_0599100000658067;RCID_de314311-0b5c-4614-8829-b09428b9010f;south;6681;754;LINESTRING (92323.05433197311 432249.0399216016, 92320.52287312088 432248.3735431958, 92319.01264770623 432247.5989816104, 92319.36196669305 432244.0363347869, 92320.87187088988 432244.8110252364, 92323.40286345036 432245.4774619107, 92323.05433197311 432249.0399216016);14.900080118022068;0.045748769367094336;1.0
ID_0599100000658067;RCID_de314311-0b5c-4614-8829-b09428b9010f;south;6682;757;LINESTRING (92320.06112403577 432236.9025947718, 92318.55138085879 432236.1278392478, 92315.77385543127 432235.787006046, 92316.12425813597 432232.2231563029, 92318.90082526312 432232.5639146886, 92320.41024692528 432233.3388009707, 92320.06112403577 432236.9025947718);15.666903456369548;0.014711193124741999;1.0
ID_0599100000658067;RCID_de314311-0b5c-4614-8829-b09428b9010f;south;6682;758;LINESTRING (92320.41040770276 432233.3387354415, 92318.90082526312 432232.5639146886, 92316.12377895653 432232.2231188994, 92316.47458301421 432228.6551875348, 92319.25066991319 432228.9959085149, 92320.75993040945 432229.7708607982, 92320.41040770276 432233.3387354415);15.682569902092002;0.27564181771213486;1.0
ID_0599100000658067;RCID_de314311-0b5c-4614-8829-b09428b9010f;south;6683;760;LINESTRING (92316.82494931309 432225.0867872571, 92314.04886239285 432224.7460662367, 92312.5601197198 432224.0638783454, 92312.9110304043 432220.4986293074, 92314.399392454 432221.1809224858, 92317.17452069778 432221.5215689476, 92316.82494931309 432225.0867872571);15.561057254811747;0.11714543232344599;1.0
ID_0599100000658067;RCID_de314311-0b5c-4614-8829-b09428b9010f;south;6683;761;LINESTRING (92317.17500006534 432221.5216062211, 92314.399392454 432221.1809224858, 92312.91084007197 432220.4986820751, 92313.26179362685 432216.9329979075, 92314.74996528665 432217.6153441431, 92317.52461409513 432217.9559534063, 92317.17500006534 432221.5216062211);15.560572005872526;0.0;1.0
ID_0599100000658067;RCID_de314311-0b5c-4614-8829-b09428b9010f;south;6683;763;LINESTRING (92317.87558915142 432214.3862845866, 92315.10094034686 432214.0456752872, 92313.61276869531 432213.3633290284, 92313.96416823185 432209.793114548, 92315.45195857283 432210.4755678395, 92318.22564733807 432210.8161027595, 92317.87558915142 432214.3862845866);15.575563876876815;0.0;1.0
ID_0599100000658067;RCID_de314311-0b5c-4614-8829-b09428b9010f;south;6684;766;LINESTRING (92314.65372636581 432202.7180921258, 92313.16402548339 432202.0460387511, 92310.7124400824 432201.6404420799, 92311.06459333692 432198.0694030977, 92313.50500190532 432198.5272585692, 92314.99231258086 432199.2098071004, 92314.65372636581 432202.7180921258);14.28050702076178;0.24089363066661784;1.0
ID_0599100000658067;RCID_de314311-0b5c-4614-8829-b09428b9010f;south;6684;767;LINESTRING (92315.00295183834 432199.1573335652, 92313.50500190532 432198.5272585692, 92311.06425794688 432198.0693979898, 92311.41609482598 432194.5015676643, 92313.85616794549 432194.9594181784, 92315.34328795821 432195.6420213996, 92315.00295183834 432199.1573335652);14.380769176597681;0.052532176619254134;1.0
ID_0599100010049459;RCID_871cfb0d-fd68-4a70-99fa-dd4db921d4ee;south;6523;150;LINESTRING (92817.27129266801 434461.4821949119, 92814.88260610514 434461.1712013489, 92812.76921497345 434460.8762916996, 92813.12513868065 434457.2208827441, 92815.23869645951 434457.5157756847, 92817.62744770426 434457.8267464981, 92817.27129266801 434461.4821949119);16.67317741392035;0.9906532103888761;1.0
ID_0599100010049459;RCID_871cfb0d-fd68-4a70-99fa-dd4db921d4ee;south;6524;147;LINESTRING (92811.70146052308 434471.8389609512, 92809.58831923429 434471.5440259092, 92807.12489380981 434471.2560092186, 92807.48071670718 434467.6024238241, 92809.94406812581 434467.8904109938, 92812.05737600962 434468.185329025, 92811.70146052308 434471.8389609512);16.928574539961136;1.0;1.0
