building gmlid; roof surface gmlid; apex flight line; row in apex data; col in apex data; cell geometry; cell area; percentage of deviations; percentage of cell in roof
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6636;292;LINESTRING (92353.81235477446 433894.6487242142, 92351.42084849233 433894.3222720196, 92349.27530266521 433894.2772461431, 92349.62852972529 433890.7117289196, 92351.7732792045 433890.756711362, 92354.16428706431 433891.0830986642, 92353.81235477446 433894.6487242142);16.305694976501574;0.2410529702478518;0.7193272696738578
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6637;292;LINESTRING (92349.27570126858 433894.2772678575, 92347.13015542623 433894.2322419846, 92344.32925976645 433894.3657033181, 92344.68365035097 433890.8002193819, 92347.48338248738 433890.6667247356, 92349.62813198144 433890.7117071801, 92349.27570126858 433894.2772678575);17.601781532635854;0.04339757409861085;1.0
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6637;293;LINESTRING (92349.62852972529 433890.7117289196, 92347.48338248738 433890.6667247356, 92344.68306922071 433890.8002026348, 92345.03706241524 433887.238717217, 92347.83621349988 433887.1052056787, 92349.98056529666 433887.1501663352, 92349.62852972529 433890.7117289196);17.578540016817243;0.006381107841000205;1.0
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6637;294;LINESTRING (92349.98096299307 433887.1501881474, 92347.83621349988 433887.1052056787, 92345.03648136242 433887.2387002934, 92345.39043863396 433883.6775767205, 92348.18900874392 433883.5440481, 92350.33296289065 433883.5889869021, 92349.98096299307 433887.1501881474);17.573256380745786;0.21476724501266573;1.0000000000000002
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6637;295;LINESTRING (92350.33336053989 433883.5890087795, 92348.18900874392 433883.5440481, 92345.38985765827 433883.6775596063, 92345.74377918194 433880.1167961103, 92348.54176839451 433879.9832502297, 92350.68532493812 433880.0281671085, 92350.33336053989 433883.5890087795);17.56798253473817;0.15697914495929577;1.0000000000000002
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6638;292;LINESTRING (92344.32984216075 433894.3657199158, 92341.52894647552 433894.4991812549, 92339.77727844297 433894.78844959, 92340.13241768754 433891.2229399816, 92341.88333705912 433890.9336972877, 92344.68306922071 433890.8002026348, 92344.32984216075 433894.3657199158);16.078909710386686;0.06101441782582229;1.0
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6638;293;LINESTRING (92344.68365035097 433890.8002193819, 92341.88333705912 433890.9336972877, 92340.13204376699 433891.2229526727, 92340.48678473959 433887.6614420377, 92342.23733025251 433887.3722118412, 92345.03648136242 433887.2387002934, 92344.68365035097 433890.8002193819);16.0574718275932;0.0069558015322213895;1.0
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6638;294;LINESTRING (92345.03706241524 433887.238717217, 92342.23733025251 433887.3722118412, 92340.4864108779 433887.6614545091, 92340.84111580925 433884.1003061465, 92342.59128752284 433883.8110882302, 92345.38985765827 433883.6775596063, 92345.03706241524 433887.238717217);16.052438440680728;0.0;1.0000000000000002
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6638;295;LINESTRING (92345.39043863396 433883.6775767205, 92342.59128752284 433883.8110882302, 92340.84074200674 433884.1003184108, 92341.19541107246 433880.5395305471, 92342.94520904562 433880.2503247058, 92345.74319828328 433880.1167788157, 92345.39043863396 433883.6775767205);16.047414024720695;0.012972645107443132;1.0
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6639;292;LINESTRING (92339.77765318639 433894.788436659, 92338.02598514446 433895.0777050008, 92335.65864433345 433895.6128280438, 92336.01492622239 433892.0472756781, 92338.38112438597 433891.5121953733, 92340.13204376699 433891.2229526727, 92339.77765318639 433894.788436659);14.390063076804353;0.2669972110260255;0.9873176750422477
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6639;293;LINESTRING (92340.13241768754 433891.2229399816, 92338.38112438597 433891.5121953733, 92336.01435552505 433892.0472968263, 92336.37023778896 433888.4857442001, 92338.73586535541 433887.9506847123, 92340.4864108779 433887.6614545091, 92340.13241768754 433891.2229399816);14.370567481411092;0.48639312502623844;1.0000000000000002
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6639;294;LINESTRING (92340.48678473959 433887.6614420377, 92338.73586535541 433887.9506847123, 92336.36966718594 433888.4857649923, 92336.72551322068 433884.9245753508, 92339.09057028359 433884.3895363263, 92340.84074200674 433884.1003184108, 92340.48678473959 433887.6614420377);14.365753703459307;0.46206379757505217;1.0
ID_0599100000422432;RCID_4d2dea77-753d-4079-af16-7187ded6fca0;south;6639;295;LINESTRING (92340.84111580925 433884.1003061465, 92339.09057028359 433884.3895363263, 92336.7249427113 433884.9245957854, 92337.0807526935 433881.3637673673, 92339.44523934624 433880.8287484407, 92341.19503732873 433880.5395425956, 92340.84111580925 433884.1003061465);14.360948083401883;0.20884445345238717;1.0
ID_0599100000422432;RCID_416cbefe-454c-4b74-83be-f771a47e95cd;south;6634;289;LINESTRING (92361.44442971857 433907.2304684951, 92359.28984224255 433907.1792710329, 92357.19908351367 433906.7549726178, 92357.55076554522 433903.1918811702, 92359.64110290846 433903.6160947224, 92361.79499265525 433903.6672584052, 92361.44442971857 433907.2304684951);15.291944630196854;0.5412104142257383;1.0
ID_0599100000422432;RCID_416cbefe-454c-4b74-83be-f771a47e95cd;south;6634;290;LINESTRING (92361.79534149793 433903.6672753406, 92359.64110290846 433903.6160947224, 92357.55055487051 433903.191838785, 92357.90220057069 433899.6291158591, 92359.99232726425 433900.0532871692, 92362.14586821024 433900.104433869, 92361.79534149793 433903.6672753406);15.288348170030261;0.1958619775857113;0.999443417862267
ID_0599100000422432;RCID_416cbefe-454c-4b74-83be-f771a47e95cd;south;6634;291;LINESTRING (92362.1462170101 433900.1044508741, 92359.99232726425 433900.0532871692, 92357.90198990636 433899.6290735877, 92358.25395819815 433896.0630827321, 92360.3438738031 433896.4872118273, 92362.49707817474 433896.5907725296, 92362.1462170101 433900.1044508741);15.253126894845368;0.2279221604421815;0.9275544544333543
ID_0599100000422432;RCID_416cbefe-454c-4b74-83be-f771a47e95cd;south;6634;292;LINESTRING (92362.4974147481 433896.538358557, 92360.3438738031 433896.4872118273, 92358.25374711464 433896.063040494, 92358.60567938705 433892.4974149939, 92360.69538434358 433892.9215020814, 92362.84826425368 433893.0247991409, 92362.4974147481 433896.538358557);15.249817381654305;0.24449647112138428;0.8051249834000523
ID_0599100000422432;RCID_416cbefe-454c-4b74-83be-f771a47e95cd;south;6635;291;LINESTRING (92357.90220057069 433899.6291158591, 92355.81186319851 433899.2049022745, 92353.42010794507 433898.8784176091, 92353.77257470484 433895.312491733, 92356.16383149539 433895.6389113925, 92358.25374711464 433896.063040494, 92357.90220057069 433899.6291158591);16.24565884514373;0.20905557073418637;0.834973894219926
