apex flight line; row in apex data; col in apex data; cell geometry; cell area; percentage of deviations; percentage of cell in roof
south;6723;788;LINESTRING (92152.84400639278 432119.9460882103, 92150.10697075393 432119.5158278011, 92147.98674645889 432119.2450226563, 92148.34354436866 432115.6648566576, 92150.46365644972 432115.9356702561, 92153.20078098984 432116.3659821323, 92152.84400639278 432119.9460882103);17.639757657875567;0.3771577176047234;0.9958554349467024
south;6723;789;LINESTRING (92153.20073658346 432116.3659563917, 92150.46365644972 432115.9356702561, 92148.34348831508 432115.6648608876, 92148.70033433664 432112.0842125581, 92150.82039023402 432112.3550304651, 92153.55755926308 432112.7853682518, 92153.20073658346 432116.3659563917);17.64210251069089;0.1895526660338117;0.7435917561199387
south;6724;787;LINESTRING (92147.63010857003 432122.824700766, 92145.50982822638 432122.553899792, 92143.49090813675 432122.4101962152, 92143.84748348901 432118.830503159, 92145.86657830601 432118.974213309, 92147.98674645889 432119.2450226563, 92147.63010857003 432122.824700766);14.964998983122763;0.3580711394490426;0.8969933261173845
south;6724;788;LINESTRING (92147.98680261578 432119.2450184589, 92145.86657830601 432118.974213309, 92143.84757094973 432118.8305064258, 92144.20419410849 432115.2503338626, 92146.22337621934 432115.3940472878, 92148.34348831508 432115.6648608876, 92147.98680261578 432119.2450184589);14.96711811618302;0.1653225384945498;0.9999999999999999
south;6724;789;LINESTRING (92148.34354436866 432115.6648566576, 92146.22337621934 432115.3940472878, 92144.20428140389 432115.2503371092, 92144.56095264747 432111.6696822467, 92146.5802222442 432111.8133989294, 92148.70027815639 432112.0842168437, 92148.34354436866 432115.6648566576);14.969249204006287;0.13770877407084625;1.0
south;6724;790;LINESTRING (92148.70033433664 432112.0842125581, 92146.5802222442 432111.8133989294, 92144.56104013516 432111.6696854788, 92144.91775954477 432108.0885475018, 92146.93711646224 432108.2322674261, 92149.05711629424 432108.5030896729, 92148.70033433664 432112.0842125581);14.97138351167378;0.03803738866516321;1.0
south;6724;791;LINESTRING (92149.05717237106 432108.5030853541, 92146.93711646224 432108.2322674261, 92144.91784686736 432108.0885507113, 92145.27461472199 432104.5069268189, 92147.29405915269 432104.6506499695, 92149.41400277759 432104.9214766076, 92149.05717237106 432108.5030853541);14.97352981207575;0.11895654923934817;0.9999999999999999
south;6724;792;LINESTRING (92149.41405898116 432104.9214722423, 92147.29405915269 432104.6506499695, 92145.27470223705 432104.5069300234, 92145.63188388373 432100.9211524575, 92147.65141584138 432101.0648788181, 92149.77130324776 432101.335709887, 92149.41405898116 432104.9214722423);14.991009772183034;0.0;0.9816417003941513
south;6724;793;LINESTRING (92149.77135946305 432101.3357054792, 92147.65141584138 432101.0648788181, 92145.63197141263 432100.9211556418, 92145.98883662012 432097.3385553771, 92148.00845593939 432097.4822849215, 92150.12828723024 432097.7531204537, 92149.77135946305 432101.3357054792);14.97784131108171;0.04451956895842647;0.7717598167681893
south;6725;790;LINESTRING (92144.56095264747 432111.6696822467, 92142.54177052513 432111.5259687944, 92140.31858848099 432111.4319120308, 92140.67480472461 432107.8507519263, 92142.89848993653 432107.9448307896, 92144.91784686736 432108.0885507113, 92144.56095264747 432111.6696822467);15.278534789452355;0.2823835712955188;0.7696952167885254
